country/region,new_cases,new_deaths,total_cases,total_deaths
North America,"+29,453",+870,"35,005,173","801,927"
South America,"+9,128",+129,"19,841,162","513,697"
Asia,"+110,470",+813,"26,830,960","415,450"
Europe,"+149,755","+2,338","37,363,608","875,522"
Africa,"+3,687",+49,"4,122,867","109,749"
Oceania,+316,+1,"53,809","1,115"
,,,721,15
World,"+302,809","+4,200","123,218,300","2,717,475"
USA,"+17,601",+175,"30,443,388","554,279"
Brazil,,,"11,877,009","290,525"
India,"+35,478",+134,"11,590,373","159,728"
Russia,"+9,632",+392,"4,447,570","94,659"
UK,"+5,587",+96,"4,291,271","126,122"
France,,,"4,216,695","91,964"
Italy,"+23,832",+401,"3,356,331","104,642"
Spain,,,"3,212,332","72,910"
Turkey,"+21,061",+95,"2,992,694","29,959"
Germany,"+4,925",+48,"2,650,111","75,121"
Colombia,,,"2,324,426","61,771"
Argentina,,,"2,234,913","54,476"
Mexico,"+5,722",+613,"2,187,910","197,219"
Poland,"+26,405",+349,"2,036,700","49,159"
Iran,"+7,540",+75,"1,793,805","61,724"
South Africa,,,"1,535,423","52,035"
Ukraine,"+15,292",+260,"1,535,218","29,775"
Czechia,"+9,624",+74,"1,459,406","24,530"
Indonesia,"+5,656",+108,"1,455,788","39,447"
Peru,,,"1,451,645","49,897"
Netherlands,"+7,593",+16,"1,194,580","16,260"
Canada,"+2,609",+18,"929,673","22,635"
Chile,"+7,036",+93,"925,089","22,180"
Romania,"+6,096",+112,"892,848","22,132"
Belgium,"+5,140",+26,"827,941","22,650"
Israel,+590,+9,"827,199","6,082"
Portugal,+457,+8,"817,080","16,762"
Iraq,"+4,674",+32,"789,390","13,969"
Sweden,,,"744,272","13,262"
Philippines,"+7,999",+30,"656,056","12,930"
Pakistan,"+3,876",+42,"623,135","13,799"
Switzerland,,,"580,609","10,203"
Bangladesh,"+1,868",+26,"568,706","8,668"
Hungary,"+11,132",+227,"560,971","18,068"
Serbia,"+4,687",+31,"546,896","4,900"
Jordan,"+5,205",+87,"526,666","5,788"
Austria,"+3,344",+28,"511,440","9,052"
Morocco,+444,+8,"491,463","8,763"
Japan,"+1,456",+32,"454,158","8,790"
UAE,"+2,013",+5,"438,638","1,433"
Lebanon,"+2,253",+51,"436,575","5,715"
Saudi Arabia,+382,+6,"384,653","6,602"
Panama,,,"350,220","6,035"
Slovakia,"+1,795",+84,"347,944","8,978"
Malaysia,"+1,671",+4,"331,713","1,229"
Ecuador,"+1,225",+23,"310,868","16,435"
Belarus,"+1,355",+9,"309,293","2,148"
Bulgaria,,,"299,939","11,932"
Georgia,+422,+8,"277,218","3,691"
Nepal,+79,,"275,829","3,016"
Bolivia,+867,+13,"263,808","12,041"
Croatia,"+1,186",+10,"256,805","5,753"
Dominican Republic,+487,+7,"248,989","3,269"
Azerbaijan,"+1,187",+14,"245,490","3,339"
Tunisia,,,"244,776","8,506"
Greece,"+2,532",+60,"235,611","7,421"
Kazakhstan,"+1,310",,"230,527","2,899"
Ireland,+525,+9,"229,831","4,585"
Denmark,+590,+2,"224,848","2,399"
Palestine,"+1,479",+27,"221,391","2,406"
Kuwait,"+1,347",+5,"217,933","1,215"
Moldova,"+1,635",+30,"214,203","4,531"
Costa Rica,,,"211,903","2,896"
Lithuania,+575,+12,"208,650","3,464"
Slovenia,"+1,030",+6,"205,509","3,967"
Egypt,,,"194,127","11,512"
Paraguay,,,"190,499","3,662"
Guatemala,+919,+22,"187,659","6,685"
Ethiopia,,,"183,863","2,618"
Armenia,"+1,071",+12,"183,127","3,332"
Honduras,+561,+20,"181,357","4,422"
Qatar,+509,+1,"173,206",272
Nigeria,,,"161,539","2,027"
Bosnia and Herzegovina,,,"151,337","5,773"
Libya,,,"150,341","2,487"
Venezuela,,,"149,145","1,475"
Oman,,,"149,135","1,620"
Myanmar,,,"142,212","3,204"
Bahrain,,,"134,510",493
Albania,+519,+11,"120,541","2,133"
Kenya,"+1,274",+12,"120,163","1,994"
North Macedonia,,,"117,437","3,424"
Algeria,+96,+2,"116,066","3,055"
S. Korea,+452,+3,"98,209","1,693"
Latvia,+625,+10,"97,149","1,821"
Estonia,"+1,250",+11,"94,028",780
Sri Lanka,+158,,"89,655",544
Ghana,+268,+3,"89,276",716
Kyrgyzstan,+82,+1,"87,321","1,488"
Montenegro,+500,+10,"86,782","1,194"
Zambia,+214,,"86,273","1,178"
Norway,+461,,"86,003",648
Uzbekistan,+126,,"81,221",622
Uruguay,,,"78,401",760
Finland,+856,,"71,123",805
Mozambique,+265,+3,"66,064",743
Cuba,+813,+5,"65,962",392
El Salvador,,+4,"62,531","1,975"
Singapore,+17,,"60,184",30
Luxembourg,+255,+1,"59,210",715
Afghanistan,+10,+1,"56,103","2,463"
Namibia,+238,+6,"42,203",492
Cyprus,,,"41,475",241
Uganda,,,"40,651",334
Cameroon,,,"40,622",601
Ivory Coast,,,"39,434",216
Senegal,+152,+4,"37,693","1,007"
Zimbabwe,,,"36,652","1,510"
Botswana,,,"35,493",458
Jamaica,+695,+5,"34,665",524
Malawi,,,"33,174","1,092"
Australia,+10,,"29,191",909
Sudan,,,"29,135","1,959"
Malta,+210,+5,"27,904",369
Thailand,+119,,"27,713",90
DRC,+112,,"27,468",726
Maldives,+81,,"22,373",65
Madagascar,+162,+5,"22,275",345
Angola,,,"21,642",524
Rwanda,,,"20,681",287
Mayotte,,+1,"19,006",152
French Polynesia,,,"18,576",141
Guinea,,,"18,562",108
Gabon,,,"17,711",106
Mauritania,,,"17,570",446
Eswatini,,,"17,274",664
Syria,,,"17,077","1,141"
French Guiana,,,"16,764",87
Cabo Verde,,,"16,374",159
Réunion,,,"13,801",71
Tajikistan,,,"13,308",90
Haiti,,,"12,714",251
Burkina Faso,+24,,"12,474",145
Belize,,,"12,400",316
Andorra,+50,,"11,481",113
Hong Kong,+8,,"11,372",203
Guadeloupe,,,"10,976",165
Lesotho,,,"10,535",309
Somalia,+43,+5,"9,968",419
South Sudan,+40,,"9,849",106
Congo,,,"9,564",134
Guyana,,,"9,486",212
Mali,+79,,"9,270",367
Suriname,,,"9,055",176
Bahamas,,,"8,800",186
Togo,,,"8,695",102
Aruba,,,"8,664",82
Trinidad and Tobago,,,"7,821",140
Martinique,,,"7,309",47
Benin,,,"6,818",90
Equatorial Guinea,+70,,"6,736",100
Nicaragua,,,"6,582",176
Djibouti,+17,,"6,518",63
Iceland,,,"6,097",29
Curaçao,,,"5,676",23
Gambia,,,"5,153",160
CAR,,,"5,075",64
Niger,,,"4,911",185
Mongolia,+148,,"4,806",5
Chad,+15,,"4,410",157
San Marino,+25,,"4,356",79
Gibraltar,,,"4,270",94
Saint Lucia,,,"4,113",55
Channel Islands,,,"4,045",86
Sierra Leone,,,"3,947",79
Seychelles,+154,,"3,770",16
Comoros,+1,,"3,666",146
Guinea-Bissau,,,"3,536",55
Barbados,,,"3,512",39
Yemen,+61,+4,"3,278",737
Eritrea,,,"3,118",7
Papua New Guinea,+295,,"3,085",36
Liechtenstein,+5,,"2,627",56
Vietnam,+1,,"2,572",35
Burundi,,,"2,563",3
New Zealand,,,"2,444",26
Turks and Caicos,+16,,"2,290",15
Monaco,,,"2,164",27
Sao Tome and Principe,+19,,"2,142",34
Sint Maarten,,,"2,099",27
Liberia,,,"2,042",85
St. Vincent Grenadines,+2,,"1,694",9
Cambodia,+54,+1,"1,632",3
Saint Martin,,,"1,619",12
Isle of Man,+30,,"1,462",26
Antigua and Barbuda,+22,+1,"1,033",28
Taiwan,+1,,"1,005",10
Caribbean Netherlands,,,987,7
Bhutan,+1,,869,1
Mauritius,,,793,10
St. Barth,,,775,1
Bermuda,+6,,773,12
Diamond Princess,,,712,13
Faeroe Islands,,,661,1
Tanzania,,,509,21
Cayman Islands,,,475,2
Wallis and Futuna,+11,+1,302,1
Timor-Leste,+19,,271,
Brunei,+2,,205,3
Dominica,,,156,
Grenada,,,154,1
British Virgin Islands,,,153,1
New Caledonia,,,115,
Fiji,,,67,2
Falkland Islands,,,54,
Laos,,,49,
Macao,,,48,
Saint Kitts and Nevis,,,44,
Greenland,,,31,
Vatican City,,,27,
Saint Pierre Miquelon,,,24,
Anguilla,,,22,
Montserrat,,,20,1
Solomon Islands,,,18,
Western Sahara,,,10,1
MS Zaandam,,,9,2
Marshall Islands,,,4,
Samoa,,,3,
Vanuatu,,,3,
Micronesia,,,1,
China,+4,,"90,087","4,636"
Total:,"+29,453",+870,"35,005,173","801,927"
Total:,"+9,128",+129,"19,841,162","513,697"
Total:,"+110,470",+813,"26,830,960","415,450"
Total:,"+149,755","+2,338","37,363,608","875,522"
Total:,"+3,687",+49,"4,122,867","109,749"
Total:,+316,+1,"53,809","1,115"
Total:,,,721,15
Total:,"+302,809","+4,200","123,218,300","2,717,475"
